Station ,2011,2012,2013,2014,2015,2016,Borough
Classon Av ,4170,4288,4490,4601,4966,4996,Brooklyn
Cleveland St ,3148,3271,3328,3467,3514,3483,Brooklyn
Clinton-Washington Avs ,5698,6033,6642,6719,6603,6932,Brooklyn
Clinton-Washington Avs ,5190,5183,5294,5178,5364,5312,Brooklyn
Coney Island-Stillwell Av ,13254,13474,13177,13734,14073,14098,Brooklyn
Cortelyou Rd ,6812,6379,5318,5727,6220,6332,Brooklyn
Court St ,38026,38088,38428,38944,38559,38089,Brooklyn
Crescent St ,4667,4635,4683,4925,5073,5053,Brooklyn
Crown Heights-Utica Av ,27368,27549,27780,28287,28146,29069,Brooklyn
Cypress Hills ,1434,1391,1431,1444,1456,1501,Brooklyn
DeKalb Av ,17180,17791,17318,17350,17889,18774,Brooklyn
DeKalb Av ,10829,11004,11617,11943,12158,12307,Brooklyn
Ditmas Av ,4554,4669,4676,4622,3386,3524,Brooklyn
East 105 St ,3684,3727,3818,3911,4002,4070,Brooklyn
Eastern Pkwy-Brooklyn Museum ,4835,4795,4938,4889,4915,4719,Brooklyn
Euclid Av ,10037,10169,10418,10652,11014,10870,Brooklyn
Flatbush Av-Brooklyn College ,22168,21942,21941,21865,21666,21268,Brooklyn
Flushing Av ,2032,2157,2373,2627,2819,2857,Brooklyn
Flushing Av ,8477,8963,9165,9258,9483,9347,Brooklyn
Fort Hamilton Pkwy ,3640,3403,3984,4248,4260,4420,Brooklyn
Fort Hamilton Pkwy ,4268,5092,5531,5650,5783,6044,Brooklyn
Fort Hamilton Pkwy ,6715,6786,7034,7244,6964,1771,Brooklyn
Franklin Av ,14795,15352,15775,15787,15866,15834,Brooklyn
Franklin Av ,5786,6111,6227,6492,6468,6289,Brooklyn
Fulton St ,3699,3956,4266,4502,4954,5096,Brooklyn
Gates Av ,5787,5964,5999,6277,6521,6602,Brooklyn
Graham Av ,9828,9889,10136,10643,10504,10483,Brooklyn
Grand Army Plaza ,7882,8068,8066,7971,7731,7735,Brooklyn
Grand St ,7169,7171,7444,7824,7307,6977,Brooklyn
Grant Av ,6216,6290,6270,6475,6696,7044,Brooklyn
Greenpoint Av ,8073,8212,8461,7819,9191,9413,Brooklyn
Halsey St ,5608,5650,5805,6174,6410,6490,Brooklyn
Halsey St ,6672,6904,7308,7720,7932,8426,Brooklyn
Hewes St ,2628,2811,2859,2859,2992,2866,Brooklyn
High St ,6586,7050,7543,8174,8479,8701,Brooklyn
Hoyt St ,6535,6710,6657,7138,7342,7615,Brooklyn
Hoyt-Schermerhorn Sts ,9760,9928,9604,9672,9818,9894,Brooklyn
Jay St-MetroTech ,38037,39561,40183,41405,43456,44267,Brooklyn
Jefferson St ,5771,5951,6612,7230,7565,7639,Brooklyn
Junius St ,2153,2204,2206,2361,3043,2230,Brooklyn
Kings Hwy ,17639,18422,18799,19010,19500,20094,Brooklyn
Kings Hwy ,3605,3681,3655,3616,3726,4637,Brooklyn
Kings Hwy ,5065,5104,5154,5344,5482,1489,Brooklyn
Kingston Av ,4825,4929,4949,5017,4999,4977,Brooklyn
Kingston-Throop Avs ,5152,5331,5678,5968,6210,6350,Brooklyn
Knickerbocker Av ,3575,2350,3429,3806,4104,4228,Brooklyn
Kosciuszko St ,4528,4592,4751,4761,4927,5118,Brooklyn
Lafayette Av ,4665,4774,4825,4857,4849,4888,Brooklyn
Liberty Av ,2687,2632,2658,2639,2780,3020,Brooklyn
Livonia Av ,2678,2908,2959,3078,3269,3418,Brooklyn
Lorimer St ,4564,4779,4796,4836,5070,5138,Brooklyn
Lorimer St ,12815,13344,14004,14573,15131,15082,Brooklyn
Marcy Av ,11319,11591,11775,12547,13276,13815,Brooklyn
Montrose Av ,6268,6452,6731,6961,7025,7007,Brooklyn
Morgan Av ,6530,6821,7126,7298,7221,7592,Brooklyn
Myrtle Av ,9670,10098,10876,11048,11424,11801,Brooklyn
Myrtle-Willoughby Avs ,4412,4581,4916,5330,5783,5889,Brooklyn
Myrtle-Wyckoff Avs ,16689,17537,18167,19203,19490,19673,Brooklyn
Nassau Av ,7791,8096,8435,8765,9066,9150,Brooklyn
