Station ,2011,2012,2013,2014,2015,2016,Borough
Flatbush Av-Brooklyn College ,16775,16452,17982,16274,17805,16443,Brooklyn
Flushing Av ,1810,2091,2256,2529,2716,2700,Brooklyn
Flushing Av ,9773,9803,9788,9012,10573,9328,Brooklyn
Fort Hamilton Pkwy ,3206,3145,4101,4258,3832,4002,Brooklyn
Fort Hamilton Pkwy ,3809,4843,5153,5345,5908,5608,Brooklyn
Fort Hamilton Pkwy ,6942,7419,7454,7885,7072,1809,Brooklyn
Franklin Av ,17405,19949,20269,24479,19326,17730,Brooklyn
Franklin Av ,7998,8279,8478,8633,8996,8274,Brooklyn
Fulton St ,4472,5363,5702,6274,7089,6288,Brooklyn
Gates Av ,7362,7464,6685,7100,8053,7937,Brooklyn
Graham Av ,10308,11215,11089,12774,11396,11996,Brooklyn
Grand Army Plaza ,7555,8908,9159,8638,8420,8216,Brooklyn
Grand St ,5765,6449,6672,7787,7030,7256,Brooklyn
Grant Av ,6876,6929,6593,7169,6901,6795,Brooklyn
Greenpoint Av ,8126,8545,7076,8050,10364,10109,Brooklyn
Halsey St ,7004,7075,6683,7284,8262,8150,Brooklyn
Halsey St ,6237,7458,8382,9661,8087,8731,Brooklyn
Hewes St ,3335,3528,3627,3222,4042,3291,Brooklyn
High St ,7735,8106,9518,11042,8840,5437,Brooklyn
Hoyt St ,4835,5562,6272,6708,7043,7619,Brooklyn
Hoyt-Schermerhorn Sts ,9136,9428,9754,9182,9961,10339,Brooklyn
Jay St-MetroTech ,27794,29899,29107,30650,31485,33452,Brooklyn
Jefferson St ,6373,7613,8282,10724,10807,11286,Brooklyn
Junius St ,2403,1948,2337,2293,2747,2053,Brooklyn
Kings Hwy ,15176,15484,16687,15539,17206,16302,Brooklyn
Kings Hwy ,3653,3563,3706,3967,4694,3903,Brooklyn
Kings Hwy ,5774,6212,5818,5945,5696,1712,Brooklyn
Kingston Av ,5271,5052,5126,5189,5430,5219,Brooklyn
Kingston-Throop Avs ,6444,6750,7120,6701,7536,7544,Brooklyn
Knickerbocker Av ,4215,2115,2598,3274,4468,3846,Brooklyn
Kosciuszko St ,5845,6072,5546,5663,6200,6517,Brooklyn
Lafayette Av ,6947,7164,7577,7002,7329,7245,Brooklyn
Liberty Av ,2490,2536,2449,2488,2773,2765,Brooklyn
Livonia Av ,2698,3198,3288,3715,3039,3126,Brooklyn
Lorimer St ,5748,5463,5503,4933,5920,5194,Brooklyn
Lorimer St ,22934,24022,27339,25444,25640,24167,Brooklyn
Marcy Av ,13629,12181,12353,13774,15165,13808,Brooklyn
Montrose Av ,7183,8430,8525,10343,10039,10119,Brooklyn
Morgan Av ,8395,10151,10289,12074,11294,12480,Brooklyn
Myrtle Av ,12921,13372,14546,13088,14285,13814,Brooklyn
Myrtle-Willoughby Avs ,4808,5353,5968,6669,7382,7043,Brooklyn
Myrtle-Wyckoff Avs ,20554,23285,24951,27345,27639,27784,Brooklyn
Nassau Av ,7724,8344,9304,9747,11249,9560,Brooklyn
Neck Rd ,3599,3460,3922,3758,4290,4119,Brooklyn
Neptune Av ,1492,1440,1434,1485,1282,1254,Brooklyn
Nevins St ,10239,10022,10342,10877,9902,8999,Brooklyn
New Lots Av ,6810,5436,6510,6407,6055,5686,Brooklyn
New Utrecht Av ,7696,8504,6243,6881,8226,6504,Brooklyn
Newkirk Av ,7131,6854,7661,7145,7853,7192,Brooklyn
Newkirk Plaza ,9910,10004,11613,10490,12210,10122,Brooklyn
Norwood Av ,3848,3957,3754,4167,4249,4099,Brooklyn
Nostrand Av ,5293,5192,4942,4925,5241,5032,Brooklyn
Nostrand Av ,20432,21437,22420,19979,22586,22197,Brooklyn
